,Post,Labels Set
0,रक्षा मंत्री @rajnathsingh पूर्व अध्यक्ष #PranabMukherjeeच्या मृत्यूचा दुःख व्यक्त केलेविवरण https//tco/aLE7aVtWy9,"hate,offensive"
1,"सरकार नेहमी किसानंची कमाई वाढण्यासाठी नवीन स्केम लावते, त्यामुळे त्यांच्यावर अधिक आर्थिक बोझ पडू नकाhttps//tco/8iy2MJSBAs",non-hostile
2,सुशांतने जो बिजनेस डेल 9 जूनला केले होते ते डेल दीपेशला सुशांतची हत्याच्या दिवशी कशाला आठवले विचारतात भारत अर्नबसा रिपब्लिक इंडियावर #LIVE https//tco/G945HvzM0Z https//tco/KfH7xF1IdM,non-hostile
3,@prabhav218 साले जेएनयू प्रिप कमिने लोक हिंदूंना हे म्हणतात की संविधान सर्वांना समान अधिकार देतो.,"defamation,offensive"
4,#unlock4guidelines - अनलॉक-4साठी गाइडलिन्स जारी- 7 सप्टेंबरपासून देशभरात मेट्रो सेवा सुरू होईल- 21 सप्टेंबरनंतर रिली आणि शेवटच्या प्रोग्राममध्ये 100 लोकांना अनुमति देणार- कंटेनमेंट ज़ोनमध्ये कोणती छूट नाही- सिनेमाहॉल आता बंद राहणार- 9 ते 12 वी विद्यार्थ्यांनी 21 सप्टेंबरनंतर शाळेत जाऊ शकणार https//tco/4e6lysg0VR,non-hostile
5,चीनने संयुक्त राष्ट्रमध्ये तर्क केले की भारताची विपक्ष ही अजर मसूदला आतंकवादी मानते नाही तर आम्ही कसे मानते. चुल्लू भर मूत्रमध्ये डूब मरून विश्वासघात. आता हे भारताचे लोकांना विचार करायचे आहे की ते विपक्षला वोट करायचे...विक्रम शर्मा,fake
6,देशात #Corona रिकॉर्ड मामला #ZeeJankariOnCorona @Sheerin_sherry https//tco/V6UddREAtW,non-hostile
7,#JEE एक्सेम सेंटरपासून बाहेर पडले #Students ऐकून बाकी विद्यार्थ्यांना माता-पिताच्या चेहरेवर मुस्कुरायला मिळेलhttps//tco/TQ7nfIv0I0 https//tco/gGCDYYEz6E,non-hostile
8,#AkshayKumar लवकरच बीअर ग्रिल्सचे शो इंटू द विल्ड विड बीअर ग्रिल्समध्ये दिसणार आहेत. https//tco/wGp2WS0wuM,non-hostile
9,#जीवनवाद आपण संघर्ष करायचे कारण सामने संघर्षचा उदाहरण ठेवायचे नव्या शहरा इतके काही नवीन होईल आपण आपल्या रोणांना जमा करण्यामध्ये वर्षभर जाऊ शकतो आम्ही ऋजमध्ये निश्चित आहे पण आम्ही हार नका तेही लढत नाही#JeevanSamvad@DayashankarMihttps//tco/nd7troF0JF https//tco/CmAzq2Mj8S,non-hostile
10,RT @_Pb_swain_ मोदीजी आणि जेव्हा सारा देशा सेनासह खडी हपर दोन सयाने विदेशात पडे आहेत तर बोलतात विदेशी माताच्या पुत्र कधी देशभक्त नाही...,hate
11,RT @ShilpiSinghINC 48000 घरांना तोडण्यासाठी आदेश आले आहे कोणी काही नाही!अमीर लोकांच्या 5 मध्ये 1 घरातील कोणत्याही अवैध भाग...,offensive
12,BJP प्रवक्ता @sambitswarajने कॉन्फ्रेंस प्रवक्ता @SupriyaShrinatela हेड मिस्ट्रेस म्हणाली तेव्हा ऐकून कॉन्फ्रेंस प्रवक्ता काय उत्तर दिले #हल्ला_बोल @anjanaomkashyap #RE https//tco/WWDYuWikCE,non-hostile
13,बीअर ग्रिल्ससह खतरनाक जंगला दिसणार अक्षय कुमार जारी video@akshaykumar@BearGryllshttps//tco/VPLwEQsqAv,non-hostile
14,आज खानच्या मुलगीवर ससूरने रेप केले.अब quatation हे उठणार मुलगा आज खानच्या रियल दमादला काय बोलणार आहे.,offensive
15,कॉंग्रेस मूल कंगना रनौत बिहार निवडणुकीत भाजपाला प्रचार करणार आहे! #NATIONALNEWS,fake
16,होम इन्सुलेशनमध्ये राहणाऱ्या लोकांना थर्ममीटर आणि पल्स ऑक्सामीटर घेऊन ठेवा. जर कोणाला कचरा किंवा बुखार नाई असेल तर त्वरित हेलपलाइन नंबर 18001805145 किंवा @CMHelpline1076 वर संपर्क करा ACS चिकित्सा आणि स्वास्थ्य श्री अमित मोहन प्रसाद जी@ShishirGoUP,non-hostile
17,पूर्व पंतप्रधान डॉ. मनमोहन सिंग 10 राजाजी मार्ग पहुंचून पूर्व अध्यक्ष प्रणव मुखर्जीला श्रद्धांजलि दिली #PranabMukherjee https//tco/egBXvOgC1w,non-hostile
18,IPL जाणार @harbhajan_singh @ChennaiIPL अधिकारी दिली अपडेटhttps//tco/9zFnEXdtAk#HarbhajanSingh #IPL2020 https//tco/z9Dpaffw3I,non-hostile
19,#Saharanpur चेकिंगचे बहाने उगावे करणारे गिरफ्तार 2 शाती धमकी पोलिसांनी केले पकडले स्कूटी 2 तमचे मोबाइल बरामद भूत कोटवाली पोलिसांनी केले पकडले. @saharanpurpol @digsaharanpur @Uppolice #policemedianews,non-hostile
20,जापानच्या नोबेल पुरस्कार विजेतेसाठी चार वर्षांपासून चीनमध्ये काम करणाऱ्या प्रोफेसर #Tasuku_Hongjoने दावा केला आहे की कोरोना हा चीनने तयार केलेला प्राकृतिक नाही कृत्रिम वायरस आहे.,fake
21,दिल्लीमध्ये हिंदू व सिक्कांची सामूहिक हत्या करण्यासाठी आतंकवादी जेहादी गुईचे डिबॅट अवैध हथियार सप्लीमेंट करतात.,"fake,hate"
22,कुत्तेमध्येही एकता आहे विचार विरोधात होते पण त्यामध्ये एकता आहे पत्रकारमध्ये नाही आतापर्यंत न्यूज चॅनलवर आशुतोष सर को गौरव भाटिया म्हणाली दोन्ही कानवर थप मारणार वहां बैठकी पत्रकार रोहित सरदाना ऐकते मी खूप दुःख झाला,offensive
23,प्रणब मुखर्जीने 37 प्रार्थनासाठी पुरानी 28 दया मागणी अस्वीकार केले प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रणबचे प्रण,non-hostile
24,लद्दाख जवळ चीन पुन्हा तैनात केली J-20 लढाई विमान निरंतर भरत उड्डाण-#IndiaChinaFaceOff https//tco/2VfWAZenTi,non-hostile
25,@liHusin1 @KanganaTeam हा बे कटे लैंडची पैदाइस हलालाची ओलाद तुला हे नाही ओळख तुला अब्बा कोण आहे आणि तुला खाला जीवन धोका कोणी नाही ओळख तुला अब्बा मुल्वी स्वामी आहे चचा आहे भाऊ जान आहे किंवा पड़ोसी अब्दुलफारूक रहिस चचा भी तुला अब्बा असेल.,"hate,offensive"
26,गृह मंत्री अमित शाहला बोन कैंसरपासून लढतात.,fake
27,ट्विटर पे अनेक चूतियांना मिळेल जे साले हिंदू विरोधात मिळेल त्यांचे स्वयंचे फॅक आईडी आहे जे ही चमन चूतियाला पासून पिस्टल पांडेय नाव ठेवले आहेत आणि हिंदू विरोधात व्यस्त आहेत.कुछ भाडे का टैटू होईल विरोधात 100 50 मिळेल बस तभी. https//tco/cwFuCzYP4O,hate
28,@SalmanNizami_ राहुल गांधी - Maa मी पुढील 4 वर्षात काय करू शकतो सोनिया गांधी - बेटा टीव्ही रिचार्ज करीत आहे बैठकर छोटा भीम बघितली😂😂😂,defamation
29,सीसीटीव्हीमध्ये रिकॉर्ड केले चोर चोरी भरपूर सोनेचे सिक्के पुनर्प्राप्त झाले @capt_ivane @DelhiPolice #Delhi https//tco/CWo9EqedoG,non-hostile
30,टीव्हीवर येण्यापूर्वी गरीब माणूस तयार करतो.,fake
31,आता असंभव वाटतं की कोणतीही बंडा जो सेवानिवृत्त झाली आहे आणि आता कोणतीही क्रिकेट खेळणार नाही तर सीएसकेसाठी परत येऊ शकतो शायद ती ऑक्शनमध्ये परत येऊ शकतो आणि कोणतीही दुसरी टीम त्यांना खरेदी करू शकतो #सीएसके #SureshRainahttps//tco/1PZ3fkb8Cj,non-hostile
32,नवीन राष्ट्रीय शिक्षण राजकारण तीन भाषा राजकारण तमिलनाडु सरकारने अस्वीकार केले - दोन भाषावर ही होणार अमलhttps//tco/deEf7BQ4i3,non-hostile
33,भारतात असंगत अर्थव्यवस्थावर दुसरा मोठा हमला आहे जीएसटी राहुल गांधीhttps//tco/0CxyP0rMyU,non-hostile
34,योजी आदित्यनाथ जीची अटक परिश्रमची ही प्रतिफल आहे उत्तर प्रदेश सर्व विडंबनांना पीछे छोड़ून सर्वंगीण विकासचे मार्ग चालले आहे. जय हो @myogiadityanath जी.,hate
35,@Real_Deepika_ मोदी जीची मोरबरोबरची फोटोवर राहुल गांडीचा कराराचा उत्तर 😂😂😂 https//tco/mb9bWDjbdP,defamation
