text,label
అజర్ మసూద్‌ను ఉగ్రవాదిగా భారత ప్రతిపక్షాలు పరిగణించకపోతే మేం ఎలా అంగీకరిస్తామని ఐరాసలో చైనా వాదించింది ,0
బీహార్ ఎన్నికల్లో బీజేపీ తరపున ప్రచారం చేయనున్న కాంగ్రెస్ మూలానికి చెందిన కంగనా రనౌత్,0
జపాన్ నోబెల్ బహుమతిని గెలుచుకుని చైనాలో 4 సంవత్సరాలు పనిచేసిన ప్రొఫెసర్ తసుకు హోంజో కరోనా సహజమైన వైరస్ కాదని చైనా తయారు చేసిన కృత్రిమ వైరస్ అని పేర్కొన్నారు,0
ఢిల్లీలో హిందువులు సిక్కులపై సామూహిక హత్యలు చేసేందుకు ఉగ్రవాదులు జిహాదీ నెయ్యి డబ్బాల్లో అక్రమ ఆయుధాలను సరఫరా చేస్తూ పట్టుబడ్డారు,0
హోంమంత్రి అమిత్ షా ఎముకల క్యాన్సర్‌తో పోరాడుతున్నారు,0
ఇటీవల కాశ్మీరీ ముస్లిం యువతి సెహ్రీకి భోజనం పెట్టినందుకు ఓ హిందూ మహిళను ఆర్‌ఎస్‌ఎస్ గూండాలు కొట్టారు భారతదేశం RSS నియంత్రణలో ఉంది మీడియా లా ఎన్‌ఫోర్స్‌మెంట్ న్యాయవ్యవస్థ మరియు జాతీయ భద్రతపై అతనికి పూర్తి నియంత్రణ ఉంది ఇలాగే కొనసాగితే ఈ దేశం సుస్థిరంగా ఉంటుందా,0
బాలిక 11వ తరగతి చదువుతోంది ప్రాక్టికల్ పరీక్షలు రాయడానికి స్కూల్‌కి వెళ్లింది పరీక్షలు రాసి స్కూల్ నుంచి తిరిగి వస్తుండగా దాదాపు 25 నుంచి 26 ఏళ్ల వయసున్న ఓ ముస్లిం యువకుడు స్కూలు బయట మెరుపుదాడి చేశాడు కత్తితో వచ్చి బాలిక మెడపై కొట్టాడు ముస్లిం యువకుడు హిందూ బాలిక పూజను కుమార్తె శంకర్ లాల్ కొత్మా అనుప్‌గఢ్‌ మధ్యప్రదేశ్‌లో లవ్‌ జిహాదీ ప్రేమను తిరస్కరించినందుకు కత్తితో హత్య చేశాడు ఈ దేశంలో హిందువులు ఎంత నిస్సహాయంగా ఉన్నాము మరి ఈ జిహాదీల ముందు మీరు ఎంత సురక్షితంగా ఉన్నారు నా రక్తం ఇలా తెరుచుకుంటుంది,0
 సినీ నటుడు సల్మాన్ ఖాన్ భారతదేశానికి 200 అంబులెన్స్‌లను అందించారు,0
పొలాల్లో యూరియా వాడకాన్ని భారత ప్రభుత్వం నిషేధించబోతోంది ఇప్పుడు వ్యవసాయంలో యూరియా వాడకాన్ని ప్రభుత్వం నిలిపివేస్తుంది,0
మహేష్ భట్ ని నువ్వు ఎంత అరిచినా నీ అకృత్యాలకు నీ కూతురికి శిక్ష పడాలిసుశాంత్ ఫ్యాన్స్ కి ఎంత రిలీఫ్ వస్తుందో అంత కేకలు వేస్తావు ప్రస్తుతం ట్రైలర్ పరిస్థితి ఇదే మరి రిలీజ్ లో ఏమవుతుందో ఆలోచించండి చిత్రం,0
ఇప్పుడు యూపీబీహార్ ప్రజలను ఢిల్లీ నుంచి కూడా తరిమికొట్టాలని బీజేపీ ఎంపీ రమేశ్ బిధూరి అన్నారు,0
భాయిజాన్ కొడుకు డ్రెయిన్ వాటర్‌తో పండ్లను కడగడం ద్వారా స్వచ్ఛమైన నీటిని ఆదా చేస్తున్నాడు హిందువులు నవరాత్రి ఉపవాసాలలో ఈ గొప్ప దేశభక్తుడు పర్యావరణవేత్త నుండి మాత్రమే పండ్లను కొనుగోలు చేస్తారు,0
గౌరవనీయులైన రాజ్యసభ ఎంపీ శ్రీ రంజన్ గొగోయ్ జీకి కరోనా ఇన్ఫెక్షన్ వార్త అందింది ప్రపంచ సృష్టికర్త అయిన శ్రీరాముడు  ని కోలుకోవాలని ప్రార్థిస్తున్నాను,0
తాగుబోతు నకిలీ జాతీయవాది కేజ్రీవాల్ వల్ల ఉపయోగం లేదు భవిష్యత్తులో ఢిల్లీలో ఓటు వేసేటప్పుడు జాగ్రత్తగా ఉండండి అని ఢిల్లీ ముఖ్యమంత్రి అరవింద్ కేజ్రీవాల్ మద్యం తాగి అన్నారు,0
