text,label
ಏಷ್ಯಾ ಕಪ್ 2018 ಪಾಕ್ ವಿರುದ್ಧ ಘರ್ಜಿಸಲು ರೋಹಿತ್ ಸೈನ್ಯ ಹೇಗಿದೆ,1
ಸಮಂತಾ ವಿಷಯದಲ್ಲಿ ಯೂ ಟರ್ನ್ಹೊಡೆದ ನಾಗ ಚೈತನ್ಯ,1
 ಐಶ್ ಬೇಬಿ ಸೌಂದರ್ಯದ ಗುಟ್ಟು ರಟ್ಟು 40 ದಾಟಿದರೂ ಹಾಟ್ ಲುಕ್ಕಿಗೇನು ಕಡಿಮೆ ಇಲ್ಲ,1
ಟೀಂ ಇಂಡಿಯಾ ಆಯ್ಕೆ ಸಮಿತಿ ಸದಸ್ಯರ ಸಂಭಾವನೆ ಎಷ್ಟು ಗೊತ್ತಾ,1
ದಕ್ಷಿಣ ಆಪ್ರಿಕಾದಲ್ಲಿ ಪ್ರಣಯ ಪಕ್ಷಿಗಳಾಗಿ ವಿರುಷ್ಕಾ ದಂಪತಿ,1
ಕಾವೇರಿದ್ದ ಕಾಲಾ ವಿರುದ್ಧದ ಹೋರಾಟ ಮಧ್ಯಾಹ್ನದ ನಂತರ ತಣ್ಣಗಾಯಿತು,1
ಜೇಬಿನಲ್ಲೇ ಐಫೋನ್ಸ್ಫೋಟ ಕೋರ್ಟ್ಮೆಟ್ಟಿಲೇರಿದ ಗ್ರಾಹಕ,1
ಪಾಕ್‌ನಲ್ಲಿ ಪ್ಯಾಡ್‌ಮ್ಯಾನ್ ನಂತರ ಅಯ್ಯಾರಿ ಸಿನಿಮಾ ನಿಷೇಧ,1
ಕೊನೆಗೂ ಸೆಟ್ಟೇರಿತು ಟಕ್ಕರ್​​ ಸಿನಿಮಾ ಚಂದನವನಕ್ಕೆ ಎಂಟ್ರಿ ಕೊಡಲಿದ್ದಾರೆ ದರ್ಶನ್ಸೋದರಳಿಯ,1
ನಟ ದುನಿಯಾ ವಿಜಯ್​​ಗೆ ಜಾಮೀನು ಸಿಗಲೆಂದು ದೇವರ ಮೊರೆ ಹೋದ ಅಭಿಮಾನಿಗಳು,1
ಹಮ್ಫಿಟ್ತೊ ಇಂಡಿಯಾ ಫಿಟ್ಅಭಿಯಾನದ ಸವಾಲು ಸ್ವೀಕರಿಸಿರುವ ಅನುಷ್ಕಾ ದೀಪಿಕಾ,1
ಮತ್ತೊಂದು ಮಗುವಿನ ಅಮ್ಮನಾಗಲಿದ್ದಾರಾ ಕರೀನಾ,1
ದೀಪಿಕಾ ರಣವೀರ್ ಮದುವೆಗೆ ದಿನಾಂಕ ಫಿಕ್ಸ್ ವರ್ಷಾಂತ್ಯಕ್ಕೆ ನಡೆಯಲಿದೆ ಸ್ಟಾರ್ಜೋಡಿಯ ವಿವಾಹ,1
ಮೋಟೊ ಒನ್ಪವರ್ಚಿತ್ರಗಳು ಲೀಕ್ಇಲ್ಲಿದೆ ಹೊಸ ಮೊಬೈಲ್ ಕುರಿತುಮಾಹಿತಿ,1
ನಟ ಸಾರ್ವಭೌಮನಿಗಿಲ್ಲ ಐಟಿ ದಾಳಿಯ ಅಡ್ಡಿ ಎಂದ ಪವನ್ಒಡೆಯರ್ಪುನೀತ್ಹೊಸ ಸಿನಿಮಾಕ್ಕೆ ಬಿತ್ತು ಬ್ರೇಕ್​,1
ಬೆಸ್ಟ್ಕ್ಯಾಮೆರಾ ಫೋನ್ಶಿಯೋಮಿಯವರ ನೂತನ Mi A2,1
ಕಾರು ಅಪಘಾತ ಅಂತರಾಷ್ಟ್ರೀಯ ಅಥ್ಲೀಟ್ ಅರ್ಜುನ್ ಅಪಾಯಾದಿಂದ ಪಾರು,1
ಕೆಐಎ ಸೂಪರ್ ಲೀಗ್​ನಲ್ಲಿ ಶತಕದ ಮಂದಹಾಸ ಬೀರಿದ ಸ್ಮೃತಿ ಮಂದಾನ ವೆಸ್ಟರ್ನ್ ಸ್ಟೋಮ್ ತಂಡಕ್ಕೆ ಗೆಲುವು,1
ದಕ್ಷಿಣ ಆಫ್ರಿಕಾ ವಿರುದ್ಧ ಏಕದಿನ ಸರಣಿ ಗೆದ್ದ ಭಾರತದ ವನಿತೆಯರು,1
ರಣಜಿ ಕ್ವಾರ್ಟರ್ ಫೈನಲ್ ವಿನಯ್ ಕುಮಾರ್ ಸಮಯೋಚಿತ ಆಟ ಕರ್ನಾಟಕಕ್ಕೆ ಅಲ್ಪ ಮುನ್ನಡೆ,1
4.2 ಕೋಟಿಗೆ ಆರ್​ಸಿಬಿ ಸೇರುತ್ತಿದ್ದಂತೆ ವಿಂಡೀಸ್​​ಬ್ಯಾಟ್ಸ್​ಮನ್​​ಮಾಡಿದ್ದೇನು ನೋಡಿ,1
ಕಬಡ್ಡಿ ಮಾಸ್ಟರ್ಸ್ 2018ಪಾಕ್ ವಿರುದ್ಧ ಎರಡನೇ ಗೆಲುವು ಸಾಧಿಸಿ ಸೆಮಿಫೈನಲ್​ಗೆ ಲಗ್ಗೆ ಇಟ್ಟ ಭಾರತ,1
ಫಿಫಾ ವಿಶ್ವಕಪ್ 2018 ಕ್ವಾರ್ಟರ್ ಫೈನಲ್​​ಗೇರಲು ಸ್ಪೇನ್ ರಷ್ಯಾ ನಡುವೆ ಸೆಣೆಸಾಟ,1
5 ಕೋಟಿ ಬಜೆಟ್‍ನ ಹೈಪರ್ ಸಿನಿಮಾ ಜೂನ್ 29ಕ್ಕೆ ಬಿಡುಗಡೆ,1
5 ಸ್ಟಾರ್ಗಿಟ್ಟಿಸಿಕೊಂಡ ಹೊಂಡಾ CR V ಯಾಕೆ ಗೊತ್ತಾ,1
ಗಾಯಕಿ ಲತಾ ಮಂಗೇಶ್ಕರ್ ಹುಟ್ಟು ಹಬ್ಬದ ಅಪರೂಪದ ಕ್ಷಣಗಳು,1
ಅಂಡರ್ 19 ಯೂಥ್ ಟೆಸ್ಟ್ಶ್ರೀಲಂಕಾ ವಿರುದ್ಧ ಸರಣಿ ಕೈವಶ ಮಾಡಿಕೊಂಡ ಭಾರತ ಅಂಡರ್ 19,1
ಡಾ.ರಾಜ್ ವ್ಯಕ್ತಿತ್ವದ ಹಿಂದಿನ ವ್ಯಕ್ತಿಯ ಅಪರೂಪದ ಕೆಲವು ಸಂಗತಿಗಳು,1
ಟ್ರೆಂಡಿಂಗ್​ನಲ್ಲಿದೆ ಠಗ್ಸ್ಆಫ್ಹಿಂದೋಸ್ತಾನ್ಸಿನಿಮಾದ ಸುರಯ್ಯಾ ಹಾಡಿನ ಟೀಸರ್​,1
ತೆರೆ ಮೇಲೆ ಯಜಮಾನನ ಅಭಿನಯಕ್ಕೆ ಹುಚ್ಚೆದ್ದು ಕುಣಿದ ಅಭಿಮಾನಿಗಳು,1
 ಅಜರುದ್ದೀನ್ ನಂತರ ಹೈದರಾಬಾದ್​ನ ಅತಿ ದೊಡ್ಡ ಕೊಡುಗೆ ಲಕ್ಷ್ಮಣ್ ರಾಹುಲ್ ದ್ರಾವಿಡ್,1
ಹರ್ಷಿಕಾ ಪೂಣಚ್ಚಗೆ ಪಾತ್ರ ನೀಡಿ ಪಲ್ಲಂಗಕ್ಕೆ ಕರೆದ ಬಾಲಿವುಡ್ಮಂದಿ  ,1
ಟೀಂ ಇಂಡಿಯಾಗೆ ವಾಪಾಸಾಗುವ ಯುವಿ  ರೈನಾ ಕನಸಿನ ಹಾದಿಯಲ್ಲಿ ಮತ್ತೊಂದು ಸಂಕಷ್ಟ,1
ರಣಜಿ ಟ್ರೋಫಿ ಡ್ರಾದಲ್ಲಿ ಅಂತ್ಯಕಂಡ ಕರ್ನಾಟಕ ಮುಂಬೈ ಪಂದ್ಯ,1
ಪಾಣಿಪತ್ ಬಾಲಿವುಡ್​ನಲ್ಲಿ ಬರಲಿದೆ ಮತ್ತೊಂದು ಐತಿಹಾಸಿಕ ಸಿನಿಮಾ,1
ಭಾರತ ದೇಶದಲ್ಲಿ ಯಾಕಿದ್ದೀರಾ ಬೇರೆ ದೇಶಕ್ಕೆ ಹೋಗಿ ಅಲ್ಲೆ ಬದುಕಿ ಚರ್ಚೆಗೆ ಗ್ರಾಸವಾಗಿದೆ ಕೊಹ್ಲಿ ಹೇಳಿಕೆ,1
ವಾಟ್ಸ್ಆ್ಯಪ್​ನಲ್ಲಿರುವ ಈ ಆಯ್ಕೆ ತಿಳಿದಿದೆಯೇ. ಕನ್ನಡದಲ್ಲೂ ಇನ್ಮುಂದೆ ಸುಲಭವಾಗಿ ಚಾಟ್ಮಾಡಬಹುದು,1
ರಣಜಿ ಟ್ರೋಫಿ ಛತ್ತೀಸ್​ಗಢ ವಿರುದ್ಧ 198 ರನ್​ಗಳ ಭರ್ಜರಿ ಜಯ ಸಾಧಿಸಿದ ಪಾಂಡೆ ಪಡೆ,1
`ಸೂಯಿ ಧಾಗಸಿನಿಮಾ  ಪ್ರಚಾರಕ್ಕೆ ಅನುಷ್ಕಾ ವರುಣ್ಆಯ್ಕೆ ಮಾಡಿಕೊಂಡಿದ್ದು ವಿಭಿನ್ನ ಮಾರ್ಗ,1
ಶಿವಣ್ಣನ ಎಸ್​ಆರ್​​ಕೆ ಚಿತ್ರಕ್ಕೆ ಬಂದ ಟಾಲಿವುಡ್ ಚೆಲುವೆ ಈಶಾ ರೆಬ್ಬಾ,1
ಆಸೀಸ್ ಸರಣಿಗೆ ಕೊಹ್ಲಿ ಬಳಗ ವಿಶ್ವಕಪ್​​ಗೂ ಮುನ್ನ ಬಿಸಿಸಿಐಯಿಂದ ಕೊನೆಯ ಪ್ರಯೋಗ,1
ವಿಷ್ಣು ದಾದಾಗೆ 68ನೇ ಜನುಮ ದಿನದ ಸಂಭ್ರಮ ಇನ್ನೂ ಬಗೆಹರಿಯದ ಸ್ಮಾರಕ ನಿರ್ಮಾಣದ ವಿಷಯ,1
ಇಂದು ರಾಜ್ಯಾದ್ಯಂತ ಸಿನಿಮಾ ಪ್ರದರ್ಶನ ಬಂದ್ಯಾವುದೇ ಹೊಸ ಸಿನಿಮಾಗಳ ರಿಲೀಸ್ಇಲ್ಲ,1
ಹೃತಿಕ್ರೋಷನ್ಅಭಿನಯಿಸುತ್ತಿರುವ  ಸೂಪರ್ 30 ಫಸ್ಟ್​ಲುಕ್ ಪೋಸ್ಟರ್ ಬಿಡುಗಡೆ,1
31ನೇ ವರ್ಷಕ್ಕೆ ಕಾಲಿಟ್ಟ ಬಾಲಿವುಡ್ ಕ್ವೀನ್ ಕಂಗನಾ ಅವರ ಅಪರೂಪದ ಚಿತ್ರಪಟಗಳು,1
ಭುವಿ ಮೋಡಿಗೆ ದಕ್ಷಿಣ ಆಫ್ರಿಕಾ ಉಡೀಸ್ ವಾಂಡರರ್ಸ್ ಟಿ 20 ಪಂದ್ಯದಲ್ಲಿ ಭಾರತಕ್ಕೆ 28 ರನ್​ಗಳ ಜಯ,1
ಅಪಘಾತಕ್ಕೀಡಾಗಿದ್ದ ನಾಯಿಗೆ ಚಿಕಿತ್ಸೆ ಕೊಡಿಸಿ ಆಶ್ರಯ ನೀಡಿದ ಸ್ಯಾಂಡಲ್​ವುಡ್ನಟಿ ,1
 ಜಿಮ್​ಗೆ ಹೋಗುವ ಮುನ್ನ ಕ್ಯಾಮೆರಾಗೆ ಪೋಸ್ಕೊಟ್ಟ ನಟಿ ಸಾರಾ ಅಲಿಖಾನ್​ರ ಕೆಲ ಚಿತ್ರಗಳು,1
ಡಿಂಪಲ್ ಕ್ವೀನ್‍ಗೆ ಸಿಕ್ಕಿದೆ ವಿಶೇಷ ಆಫರ್ರಚಿತಾ ರಾಮ್ಸ್ಯಾಂಡಲ್‍ವುಡ್‍ನ ಹೊಸ ಪದ್ಮಾವತಿ,1
 ಕ್ರಿಕೆಟಿಗ ಯುವರಾಜ್ ಸಿಂಗ್ ಹುಟ್ಟು ಹಬ್ಬದ ಅಪರೂಪದ ಚಿತ್ರಗಳು,1
ಐಪಿಎಲ್​​ನಲ್ಲಿ ಈವರೆಗೆ ಶತಕ ಬಾರಿಸದ ಭಾರತೀಯ ಸ್ಟಾರ್ ಬ್ಯಾಟ್ಸ್​ಮನ್​ಗಳು ಯಾರು ಗೊತ್ತಾ,1
  ಯಂಗ್ಇಂಡಿಯಾಗೆ ಫಿಟ್​ನೆಟ್ಸವಾಲೆಸೆದ ಜೂನಿಯರ್ದೇವಗನ್​,1
ಭಾರತದ ಆರು ಮಂದಿ ಕ್ರಿಕೆಟ್ಆಟಗಾರರೇ ಸಾಮಾಜಿಕ ಜಾಲತಾಣಗಳಲ್ಲೂ ಟಾಪ್,1
ಮಳೆ ಸಂತ್ರಸ್ತರ ನೆರವಿಗೆ ಮನವಿ ಮಾಡಿದ ಚಂದನವನದ ನಟ ನಟಿಯರು,1
ನೆಚ್ಚಿನ ನಟಿಯನ್ನು ನೋಡಲು ಶೂಟಿಂಗ್ಬರುತ್ತಿದ್ದ ಅಭಿಮಾನಿ,1
ನೀಲಿ ಸಿನಿಮಾಗೆ ಒಪ್ಪಿದ ಸನ್ನಿ ಲಿಯೋನ್ಮಗಳ ನಿರ್ಧಾರದಿಂದ ಬೇಸತ್ತ ತಾಯಿ ಮಾಡಿದ್ದೇನು ಗೊತ್ತಾ,1
ಇವರೇ ನೋಡಿ ವಿಶ್ವದ ಟಾಪ್  5 ಹಾಟ್ ನಿರೂಪಕಿಯರು,1
ಖ್ಯಾತ ಚಲನಚಿತ್ರ ತಾರೆ ಉಮಾಶ್ರೀ ಉಗ್ರಾವತಾರ ನೋಡಲು ಮುಗಿ ಬಿದ್ದ ಅಭಿಮಾನಿಗಳು,1
ಭಾರತ ಇಂಗ್ಲೆಂಡ್ ನಡುವಣ 5ನೇ ಟೆಸ್ಟ್​ನ 3ನೇ ದಿನದಾಟದ ಚಿತ್ರಪಟಗಳು,1
ತಣ್ಣಗಾಗದ ಬಾಸ್ ವಿವಾದ  ದರ್ಶನ್ ಅಭಿಮಾನಿಗಳಿಂದ ರಸ್ತೆಗೆ ಬಾಸ್ಎಂದು ಹೂವಿನಲಂಕಾರ,1
ರಣವೀರ್ಸಿಂಗ್​ಗೆ ಮುತ್ತು ಕೊಟ್ಟಿದ್ದ ಪೋರಿ ವಾಣಿ ಕಪೂರ್ಈಗ ರಣಬೀರ್ಜತೆ ರೊಮ್ಯಾನ್ಸ್ಮಾಡಲಿದ್ದಾರೆ,1
 ಹುಟ್ಟುಹಬ್ಬದ ಸಂಭ್ರಮದಲ್ಲಿರುವ ಕನ್ನಡದ ಹುಡುಗಿ ದೀಪಿಕಾರ ಚಿಕ್ಕಂದಿನ ಚಿತ್ರಗಳು ,1
ಆಸ್ಕರ್ ವಿಜೇತೆ ಒಲಿವಿಯಾ ಮುತ್ತಜ್ಜಿ ಹುಡುಕಲು ಲಂಡನ್​ನಿಂದ ಬಿಹಾರದ ಕುಗ್ರಾಮಕ್ಕೆ ಬಂದ್ರು,1
  ಶೃತಿ ಹರಿಹರನ್ ಗೆ ಕಿರಿಕ್ ಹುಡುಗಿ ಸಂಯುಕ್ತಾ ಹೆಗ್ಡೆ ಬೆಂಬಲ,1
ಕಣ್ಣೀರಿಟ್ಟ ಟೀಂ ಇಂಡಿಯಾದ ಪುಟ್ಟ ಅಭಿಮಾನಿಯನ್ನು ಭೇಟಿಯಾದ ಅಫ್ಘಾನ್ ಆಟಗಾರರು,1
ಹಸೆಮಣೆ ಏರಲಿರುವ ಸೋನಮ್ಕಪೂರ್ ಈ ಸುಂದರಿಯ ನಿದ್ದೆ ಕದ್ದ ಚೋರ ಯಾರು,1
ಭರ್ಜರಿ ಆಫರ್ 13 ಸಾವಿರ ಬೆಲೆಯ ಸ್ಮಾರ್ಟ್​ಫೋನ್​ಗೆ ಕೇವಲ 999 ರೂ,1
ಎಲ್ಲಾ ಮಾದರಿಯ ಕ್ರಿಕೆಟ್​​ಗೆ ವಿದಾಯ ಘೋಷಿಸಿದ ಮೊಹಮ್ಮದ್ ಕೈಫ್,1
