,Post,Labels Set
0,@rajnathsingh প্রাক্তন প্রেসিডেন্ট #PranabMukherjee মৃত্যুর জন্য দুঃখিত বিবরণ https//tco/aLE7aVtWy9,"hate,offensive"
1,"সরকার সবসময় কৃষকদের বেতন বৃদ্ধি করার জন্য নতুন সিকেমি এনেছে, যাতে তাদের উপর অনেক অর্থনৈতিক ওজন থাকে নাhttps//tco/8iy2MJSBAs",non-hostile
2,সুশানত যে ব্যবসা ডেল 9 জুনকে করেছিলেন সে ডেল দিপेशকে সুশানতের হত্যার দিনটি কেন স্মরণ করেছিলেন জানায় ভারতের সঙ্গে রিপাবলিক ভারতের সাথে #LIVE https//tco/G945HvzM0Z https//tco/KfH7xF1IdM,non-hostile
3,"@prabhav218 সালি জেনু প্রিন্ট ক্যামিন লোকেরা হিন্দুদের বলছে, সংবিধান সবাইকে সমান অধিকার দেয়। সত্য যে এটি সমান অধিকার দেয় না।","defamation,offensive"
4,#unlock4guidelines - Unlock-4 জন্য গাইডলাইন जारी- 7 সেপ্টেম্বর থেকে দেশে মেট্রো পরিষেবা শুরু হবে- 21 সেপ্টেম্বর পরে রেলি এবং বাকি ফ্যাকশনে 100 জনকে অনুমতি দেয়া- কন্টেন্টিং জোনে কোন ছাড়াই নেই- সিনেমা হাল এখন বন্ধ থাকবে- 9 থেকে 12ই ছাত্র 21 সেপ্টেম্বর পরে স্কুলে যেতে পারবে https//tco/4e6lysg0VR,non-hostile
5,চীন জাতিসংঘে দাবি করেছে যে ভারতের বিরোধী দল শুধু অজার মসুদকে आतंकवाद বলে মনে করেন না তাহলে আমরা কীভাবে বিশ্বাস করি? চুলু পুরো মসুতে ডুবে মারা গিয়ে দাঁড়িয়ে দাঁড়িয়ে দাঁড়িয়ে দাঁড়িয়ে দাঁড়িয়ে দাঁড়িয়ে দাঁড়িয়ে দাঁড়িয়ে দাঁড়িয়ে দাঁড়িয়ে দাঁড়িয়ে দাঁড়িয়ে দাঁড়িয়ে দাঁড়িয়ে দাঁড়িয়ে দাঁড়িয়ে দাঁড়িয়ে দাঁড়িয়ে।,fake
6,দেশে #Corona রেকর্ড মামলা #ZeeJankariOnCorona @Sheerin_sherry https//tco/V6UddREAtW,non-hostile
7,#JEE পরীক্ষা কেন্দ্র থেকে বাইরে #Students শুনুন বাকি ছাত্রদের সঙ্গে পিতামাতার মুখে হাসি আসবেhttps//tco/TQ7nfIv0I0 https//tco/gGCDYYEz6E,non-hostile
8,#AkshayKumar শীঘ্রই বায়ার গ্রিলসের ইন্টু ড ওয়াইল্ড উইড বায়ার গ্রিলসে দেখতে আসবে। https//tco/wGp2WS0wuM,non-hostile
9,#জীবনবাদ আমরা লড়াই করতে চাই কারণ সামনে লড়াইয়ের উদাহরণ রাখতে চাই নতুন শহরে এমন কিছু নতুন হবে যে আমরা আমাদের রাস্তার সংগ্রহে বছর ধরে যাবো আমরা দায়িত্বে নিশ্চিত কিন্তু আমরা হারান না সেও লড়াই ছাড়া #JeevanSamvad@DayashankarMihttps//tco/nd7troF0JF https//tco/CmAzq2Mj8S,non-hostile
