text,label
ಭಾರತದ ವಿರೋಧ ಪಕ್ಷಗಳು ಅಜರ್ ಮಸೂದ್‌ನನ್ನು ಭಯೋತ್ಪಾದಕ ಎಂದು ಪರಿಗಣಿಸದಿದ್ದರೆ ನಾವು ಅದನ್ನು ಹೇಗೆ ಒಪ್ಪಿಕೊಳ್ಳಬಹುದು ಎಂದು ಚೀನಾ ವಿಶ್ವಸಂಸ್ಥೆಯಲ್ಲಿ ವಾದಿಸಿತು?,0
ಕಾಂಗ್ರೆಸ್ ಮೂಲದ ಕಂಗನಾ ರಣಾವತ್ ಬಿಹಾರ ಚುನಾವಣೆಯಲ್ಲಿ ಬಿಜೆಪಿ ಪರವಾಗಿ ಪ್ರಚಾರ ಮಾಡಲಿದ್ದಾರೆ,0
ಜಪಾನ್‌ನ ನೊಬೆಲ್ ಪ್ರಶಸ್ತಿಯನ್ನು ಗೆದ್ದು 4 ವರ್ಷಗಳ ಕಾಲ ಚೀನಾದಲ್ಲಿ ಕೆಲಸ ಮಾಡಿದ ಪ್ರೊಫೆಸರ್ ತಸುಕು ಹೊಂಜೊ ಅವರು ಕರೋನಾ ನೈಸರ್ಗಿಕ ವೈರಸ್ ಅಲ್ಲ ಆದರೆ ಚೀನಾ ಮಾಡಿದ ಕೃತಕ ವೈರಸ್ ಎಂದು ಹೇಳಿದ್ದಾರೆ.,0
ದೆಹಲಿಯಲ್ಲಿ ಹಿಂದೂಗಳು ಮತ್ತು ಸಿಖ್ಖರನ್ನು ಸಾಮೂಹಿಕವಾಗಿ ಕೊಲ್ಲಲು ಜಿಹಾದಿ ತುಪ್ಪದ ಕಂಟೈನರ್‌ಗಳಲ್ಲಿ ಅಕ್ರಮ ಶಸ್ತ್ರಾಸ್ತ್ರಗಳನ್ನು ಪೂರೈಸುತ್ತಿದ್ದ ಭಯೋತ್ಪಾದಕರ ಸೆರೆ,0
ಗೃಹ ಸಚಿವ ಅಮಿತ್ ಶಾ ಅವರು ಮೂಳೆ ಕ್ಯಾನ್ಸರ್‌ನಿಂದ ಬಳಲುತ್ತಿದ್ದಾರೆ,0
"ಇತ್ತೀಚೆಗಷ್ಟೇ ಕಾಶ್ಮೀರಿ ಮುಸ್ಲಿಂ ಯುವತಿಯೊಬ್ಬಳಿಗೆ ಊಟ ಹಾಕಿದ್ದಕ್ಕಾಗಿ ಆರೆಸ್ಸೆಸ್ ಗೂಂಡಾಗಳಿಂದ ಹಿಂದೂ ಮಹಿಳೆಯೊಬ್ಬಳನ್ನು ಥಳಿಸಲಾಯಿತು ಸೆಹ್ರಿ ಭಾರತವನ್ನು ಆರೆಸ್ಸೆಸ್ ನಿಯಂತ್ರಿಸುತ್ತಿದೆ, ಮಾಧ್ಯಮ ಕಾನೂನು ಜಾರಿ ನ್ಯಾಯಾಂಗ ಮತ್ತು ರಾಷ್ಟ್ರೀಯ ಭದ್ರತೆಯ ಮೇಲೆ ಸಂಪೂರ್ಣ ಹಿಡಿತವಿದೆ ಇದು ಹೀಗೆಯೇ ಮುಂದುವರಿದರೆ ಈ ದೇಶ ಸ್ಥಿರವಾಗುತ್ತದೆಯೇ?",0
"11ನೇ ತರಗತಿಯಲ್ಲಿ ಓದುತ್ತಿರುವ ಬಾಲಕಿ ಪ್ರಾಯೋಗಿಕ ಪರೀಕ್ಷೆ ಬರೆಯಲು ಶಾಲೆಗೆ ಹೋಗಿದ್ದು, ಶಾಲೆಯಿಂದ ವಾಪಸಾಗುತ್ತಿದ್ದ ವೇಳೆ ಸುಮಾರು 25ರಿಂದ 26 ವರ್ಷದ ಮುಸ್ಲಿಂ ಯುವಕನೊಬ್ಬ ಶಾಲೆಯ ಹೊರಗೆ ಚಾಕುವಿನಿಂದ ಹೊಂಚು ಹಾಕಿ ಬಾಲಕಿಯ ಕುತ್ತಿಗೆಗೆ ಹೊಡೆದಿದ್ದು, ಎಷ್ಟು ಅಸಹಾಯಕಳಾಗಿದ್ದಾಳೆ. ಈ ದೇಶದಲ್ಲಿರುವ ಹಿಂದೂಗಳು ಮತ್ತು ಈ ಜಿಹಾದಿಗಳ ಮುಂದೆ ನೀವು ಎಷ್ಟು ಸುರಕ್ಷಿತರು ಎಂದು ನನ್ನ ರಕ್ತ ಕುದಿಯುತ್ತಿದೆ",0
ಚಿತ್ರನಟ ಸಲ್ಮಾನ್ ಖಾನ್ ಭಾರತಕ್ಕೆ 200 ಆಂಬ್ಯುಲೆನ್ಸ್‌ಗಳನ್ನು ಕೊಡುಗೆಯಾಗಿ ನೀಡಿದ್ದಾರೆ,0
ಭಾರತ ಸರ್ಕಾರವು ಹೊಲಗಳಲ್ಲಿ ಯೂರಿಯಾ ಬಳಕೆಯನ್ನು ನಿಷೇಧಿಸಲು ಹೊರಟಿದೆ ಮತ್ತು ಈಗ ಸರ್ಕಾರವು ಕೃಷಿಯಲ್ಲಿ ಯೂರಿಯಾ ಬಳಕೆಯನ್ನು ನಿಲ್ಲಿಸಲಿದೆ,0
"ಮಹೇಶ್ ಭಟ್ ಮೇಲೆ ಎಷ್ಟೇ ಕಿಚಾಯಿಸಿದರೂ ನಿಮ್ಮ ದುಷ್ಕೃತ್ಯಕ್ಕೆ ನಿಮ್ಮ ಮಗಳಿಗೆ ತಕ್ಕ ಶಿಕ್ಷೆಯಾಗಬೇಕು, ಎಷ್ಟು ಕೂಗಿದರೂ ಸುಶಾಂತ್ ಅಭಿಮಾನಿಗಳಿಗೆ ಸಮಾಧಾನ.",0
