,Post,Labels Set
0,Defense Minister @rajnathsingh expressed regret for the death of former president #PranabMukherjeeDeclaration https//tco/aLE7aVtWy9,"hate,offensive"
1,The government continues to bring new schemes to increase the earnings of farmers so that they do not have too much economic burden https//tco/8iy2MJSBAs,non-hostile
2,The business deal that Sushant made on June 9 is why the deal was remembered on the day of Sushant's murder. #LIVE https//tco/G945HvzM0Z https//tco/KfH7xF1IdM,non-hostile
3,@prabhav218 Sally JNU print people tell the Hindu that the Constitution gives equal rights to all. the truth is that it does not give equal rights.,"defamation,offensive"
4,#unlock4guidelines - Guidelines for Unlock-4 release- Metro service in the country will start from September 7 to September 21 - Rallyes and other functions allow 100 people - No discount in the container zone - Cinema Hall will still be closed - 9 to 12th students will be able to go to school after September 21 https//tco/4e6lysg0VR,non-hostile
5,"China has argued in the UN that India’s opposition does not consider Azar Masud as a terrorist, so how do we believe that it is now the people of India to think why they vote for the opposition.",fake
6,Record cases of #Corona in the country #ZeeJankariOnCorona @Sheerin_sherry https//tco/V6UddREAtW,non-hostile
7,#JEE Exam center leaves #Students listen to the rest of the students will come smile on the face of Parents with the rest of the studentshttps//tco/TQ7nfIv0I0 https//tco/gGCDYYEz6E,non-hostile
8,#AkshayKumar will soon be seen in the Bear Grills show Intu the Wild With Bear Grills. https//tco/wGp2WS0wuM,non-hostile
9,We want to struggle because we want to put the example of struggle in front of the new city will be so new that we will spend years in shedding our roots we are in debt but we don’t want to lose it also without struggle#JeevanSamvad@DayashankarMihttps//tco/nd7troF0JF https//tco/CmAzq2Mj8S,non-hostile
10,RT @_Pb_swain_ Modiji and when the whole country with the army has two syanes falling abroad 🙂 so speak foreign mother's son never patriot...,hate
11,"RT @ShilpiSinghINC 48000 houses have been ordered to be broken, no one is concerned! 1 out of 5 wealthy houses illegally part even a...",offensive
12,When BJP spokesman @sambitswaraj told Congress spokesman @SupriyaShrinate Head Mister then hear what Congress spokesman answered#Halla_Bol @anjanaomkashyap #RE https//tco/WWDYuWikCE,non-hostile
13,It will appear in dangerous forests with beer grills by Akshay Kumar released video@akshaykumar@BearGryllshttps//tco/VPLwEQsqAv,non-hostile
14,"Today, the son of Sassur has been raped.Now quatation is what the child will be speaking to Sassur's real damad.",offensive
15,Congress will promote BJP in the election! #NATIONALNEWS,fake
16,"If someone has a cough or fever or breathing, contact the immediate helpline number 18001805145 or @CMHelpline1076 ACS Medicine and Health Mr. Amit Mohan Prasad G@ShishirGoUP",non-hostile
17,Former Prime Minister Dr. Manmohan Singh has reached 10 Rajagi roads and honored former President Paranov Mukherjee #PranabMukherjee https//tco/egBXvOgC1w,non-hostile
18,IPL will leave @harbhajan_singh @ChennaiIPL official gave updatehttps//tco/9zFnEXdtAk#HarbhajanSingh #IPL2020 https//tco/z9Dpaffw3I,non-hostile
19,#Saharanpur checking excuses raise arrested 2 shayer scammers the police made arrested scout 2 thumb mobile rescued the land coat police made arrested. @saharanpurpol @digsaharanpur @Uppolice #policemedianews,non-hostile
20,"Professor #Tasuku_Honjo, who has been working in China for four years, claims that Corona is a natural and not artificial virus that has been created by China.",fake
21,"In Delhi, the terrorist jihadists for the collective murder of Hindu and Sikhs were drowned by providing illegal weapons in the cabin of Gai.","fake,hate"
22,"There is also unity in the dog, there is opposition in the thoughts, but yet there is unity in the journalist not until today on the news channel to Aşutush Sir to Gurov Bhatia said I will thump on both ears there sitting journalist Rohit Sardanah listening I was very sad",offensive
23,Prnub Mukherjee rejected 28 charity requests linked to 37 candidates Prnub before the President Reni talent Pattil saved the most 30 people from the fence of death Prnub only sentenced to seven fence sentences HTTPS//tco/1G44U1OR4R,non-hostile
24,China has resettled its J-20 fighter aircraft continuously flying-#IndiaChinaFaceOff https//tco/2VfWAZenTi,non-hostile
25,I know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you know you.,"hate,offensive"
26,Home Minister Amit Shah is fighting with Bon Cancer,fake
27,Twitter will find a lot of hinduists who will find their own fake id is now like this hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist hinduist.,hate
28,@SalmanNizami_Rahul Gandhi - Maa What I'm going to do next 4 years Sonia Gandhi - Son TV is rechargeed by sitting small tooam watch😂😂😂😂,defamation
