Sentences,Annotation,
????? ?? ???? ??? ????? ?? ??? ?? ??? ??,1,
"????? ?????, ????? ??????? ?????? ??",1,
"??????? ?? ???? ??????? ??, ????? ??? ??? ???? ???? ??, ????? ?? ??? ???? ?????? ??",1,
"?? ?? ????? ????, ????? ??????, ????? ???? ??, ???? ????? ?? ?? ?? ???? ?? ??? ??",1,
???? ??? ????? ???? ??,1,
????? ???? ?? ????????? ?? ??? ???,4,
"???? ?? ????? ??? ??? ???? ??, ????? ?? ?? ??? ???-???? ???? ????? ?? ??? ??",4,
"???? ?? ???? ???? ?? ?? ???, ????? ??? ????? ?? ??? ???? ?? ?? ?? ???? ???? ??",4,
?????-????? ????? ?? ????-???? ?? ???,4,
????? ?? ?????-????? ????? ?? ?????,4,
"??? ??? ?? ???? ??????, ??? ??????? ??????? ?? ?????-??????, ????? ?? ???? ????? ?????? ??",4,
????? ???? ?????? ??????? ???,1,
"???? ?? ?? ???? ??? ??, ?? ?? ????? ??, ???? ?? ?? ?? ????, ????? ????? ???? ?? ???? ???? ?????? ?? ??? ??",4,
???? ????-?????? ?? ??? ?????,4,
???? ??? ?? ?? ??,4,
"??? ?? ?? ??? ???? ??, ?? ?? ? ???",4,
?? ????? ???? ?? ?? ??? ????? ????? ???? ????,0,
?????? ??????? ?? ??????? ?? ???? ???????,0,
"??????? ?? ??? ??? ?? ????? ?? ??? ?? ?? ????, ???? ??? ??, ?? ?? ??????? ???????",0,
?? ???? ????? ?? ???????? ????? ?????? ????? ??????? ?? ?? ????? ?? ??? ???,0,
"?????? ???? ??? ?? ????? ????? ??? ???, ?? ?? ???? ?? ??????? ?? ???",0,
???? ???? ????? ??? ?? ????? ?? ?? ??? ??? ??,0,
???-??? ??? ?? ???? ????? ??????? ????? ??? ?? ??? ???? ??? ?? ???? ???,0,
"????? ????? ??, ??-??, ??,-????, ???? ??? ???? ???? ???",1,
"?????? ?? ??? ??, ??, ???, ??, ??, ?????? ???? ???",1,
"?????? ??????? ????? ??? ??????? ????? ????????- ??????, ????????, ?????, ???? ?? ???? ????-????",1,
?? ???? ?????? ??????? ?? ?????,1,
"?? ???-???? ??? ?? ????- ????, ?????-???? ?????, ????? ??? ?? ???? ???? ?? ???? ?? ??? ?? ??? ? ???? ????? ???? ????-???? ?? ??? ?? ???",2,
???? ?? ??? ???? ?????? ??,2,
???? ?? ??? ????? ???? ??,2,
"??? ?? ?? ??? ????? ??, ?? ??? ??? ?? ???? ?? ?? ?? ? ??? ??? ?? ????? ?? ???? ?? ???",2,
?? ????? ???? ????? ???? ????? ?? ??? ??? ???? ?? ?? ???? ?? ??????? ??,1,
???? ???????? ????? ????? ?? ???,2,
????-?? ??????? ???? ??????,2,
"???????? ?????? ????? ?? ?? ?? ???? ??? ???? ?????-????? ????? ???? ??? ???, ????? ????? ??????? ??",2,
"??? ?? ???? ??? ??, ?? ??? ?????? ?? ???",4,
???? ?????? ?? ??? ?? ????? ??? ???? ??,4,
