text,label
"நாங்கள் எவர் மீதும் வெறுப்பை காட்டவில்லை, யாரையும் தூண்டிவிடவில்லை. என்ன உணவை சாப்பிட்டாலும், எதை அணிந்திருந்தாலும் ஏற்றுக் கொள்கிறோம் என்று மோகன் பாகவத் கூறியிருக்கிறார். மத நம்பிக்கை என்கிற வகையில் உணவு மற்றும் ஆடைக் கட்டுப்பாடுகளை நாங்கள் விதிக்கவில்லை என்று பேசியதாக தகவல்கள் வெளியாகியுள்ளன. ",1
"நபார்டு வங்கி மற்றும் ஆசிய-பசிபிக் கிராமப்புற மற்றும் விவசாயக் கடன் நிறுவனங்களின் கூட்டமைப்பும் இணைந்து ஏற்பாடு செய்திருந்த நிகழ்ச்சி ஒன்றில் பேசிய ஜேட்லி இதனைத் தெரிவித்தார். அவர் மேலும் கூறியதாவது, ",1
விவசாயத்தை வியாபாரமாக நடத்த வேண்டும்: மைக்ரோசாப்ட் தலைவர் பில்கேட்ஸ் கருத்து,1
"எனவே வேலைக்கேற்ற ஆட்களைப் பார்த்துப் பார்த்துப் பொறுப்புகளைக் கொடுப்பதுதானுங்க சரி, ஒரே வழி! ‘எல்லா வேலைகளுக்கும் பொருத்தமான ஆட்களைத் தேடிக் கண்டுபிடிப்பது என்பது எல்லா வேலைகளையும் நானே செய்வதைக் காட்டிலும் கடினமானது' எனச் சொன்னது யார் தெரியுமா? அல்டன் ப்ரௌன் எனும் நட்சத்திர சமையல்காரர்!",1
"கடந்த 20-ம் தேதி அமெரிக்க அதிப ராக பொறுப்பேற்ற டொனால்டு ட்ரம்ப், தனது தேர்தல் பிரசாரத்தின்போது வெளி நாடுகளில் தயாரித்து அமெரிக்காவில் விற்பனை செய்யும் அமெரிக்க நிறு வனங்களை கடுமையாக விமர்சித்தார். தான் அதிபராக பொறுப்பேற்றால் இந்த நிலையைத் தொடர அனுமதிக்க மாட்டேன் என்று குறிப்பிட்டிருந்தார்.",1
பேட்டரி மோட்டார் சைக்கிள்: ஹார்லி டேவிட்சன் தீவிரம் ,1
வாகனங்களை எந்த வகையில் கொண்டு சென்றாலும் அதற்கு ஒரே அளவினதாக ஜிஎஸ்டி விதிக்கலாம் என்றும் இதன் மூலம் லாஜிஸ்டிக்ஸ் சேவை மேம்படும் என்றும் வர்த்தக அமைச்சகம் கருத்து தெரிவித்துள்ளது.,1
பேட்டரி வாகனத்துக்கு அரசு முன்னுரிமை: அச்சத்தில் ஆட்டோமொபைல் துறை,1
புதிய இலக்கில் பயணிக்கும் முன்னாள் நண்பர்கள்!,1
"மோட்டார் நிறுவனம் புதிய பொலிவுடன் பிரையோ கார்களை அறிமுகம் செய்துள்ளது. இளமையான வெளிப்புறத் தோற்றம், உயர் ரக உள்புறத் தோற்றம் ஆகியவற்றுடன் பல முன்னேறிய தொழில்நுட்பங்களோடு இந்த கார் வெளிவந்துள்ளது.",1
"வெள்ளிக்கிழமை 35 இடங்களிலும், சனிக்கிழமை 21 இடங்களிலும் சோதனை நடைபெற்றது. ரூ.11,400 கோடி மோசடி வழக்கில் சம்பந்தம் உள்ள இடங்களில் சோதனை நடைபெற்றது. இந்த இடங்களில் இருந்து 5,674 கோடி ரூபாய் தங்கம், வைரம் மற்றும் நகைகள் பறிமுதல் செய்யப்பட்டுள்ளன.",1
செப்டம்பர் மாதம் ரஷியாவில் நடைபெற உள்ள போட்டியில் இவர்கள் உருவாக்கியுள்ள கார் இடம்பெற உள்ளது. இந்தப் போட்டியில் உலகெங்கிலும் இருந்து 800 மாணவர்கள் 30 அணிகளாக தங்களது தயாரிப்புகளை காட்சிக்கு வைக்க உள்ளனர்.,1
