text,label
ஆலங்கட்டி மழை பெய்தது திருத்தணியா… கொடைக்கானலா பேஸ்புக் வீடியோவால் குழப்பம்,0
தூத்துக்குடியில் போலீசார் துப்பாக்கியால் சுடும்போது குறுக்கே போனதால் 13 பேர் இறந்தனர் அன்புமணி கூறியதாக பரவும் வதந்தி,0
பெண்கள் கால் மேல் கால் போட்டு அமர்ந்தால் கர்ப்பப்பை பாதிப்பு ஏற்படுமா,0
பெரிய வீட்டுப் பிள்ளைகள் தப்பு செய்வது சகஜம் என்று பொள்ளாச்சி ஜெயராமன் கூறினாரா,0
குடியுரிமை திருத்தச் சட்டத்தை எதிர்ப்பவர்களை நாய் என்று விமர்சித்தாரா ஓ.பி.ஆர்,0
மத்தியப் பிரதேசத்தில் பள்ளி சிறுமியை பாலியல் பலாத்காரம் செய்த இஸ்லாமியர் துணிந்து பொய் சொல்லும் பேஸ்புக் பதிவு,0
பெங்களூருவில் புர்கா அணிந்து வந்த ஆர்.எஸ்.எஸ் உறுப்பினர் வைரல் வீடியோ உண்மையா,0
வாக்களிக்க வேண்டாம் என்று ரூ.500 தந்து கையில் மை வைத்த பா.ஜ.க.வினர் உத்தரப்பிரதேச நிகழ்வு நிஜமா,0
கோவை குடிநீர் கோவிந்தா சர்ச்சையை கிளப்பும் பேஸ்புக் பதிவு,0
கிறிஸ்தவத்தை பரப்ப தடையாக இருப்பது இந்து கோவில்கள் கமல் கூறியதாகப் பரவும் பகீர் பேஸ்புக் தகவல்,0
சூர்யா நடத்தும் அகரம் அறக்கட்டளையில் வரி ஏய்ப்பு பேஸ்புக் வதந்தி,0
தொடர்ந்து இரண்டாவது முறையாக ஆட்சிக்கு வந்ததால் மோடிக்கு ஆபத்து தரம்தாழ்ந்த பேஸ்புக் பதிவு,0
இந்திய கிரிக்கெட் அணியின் கேப்டனாக ரோஹித் ஷர்மா நியமனம்,0
அத்தி வரதரை சந்திக்க லஞ்சம் கொடுத்த ரஜினி பரபரப்பை ஏற்படுத்திய ஏஷியா நெட் செய்தி,0
பெற்றோர் அனுமதி இன்றி திருமணம் செய்தால் சொத்துரிமை இல்லை என்று உச்ச நீதிமன்றம் சொன்னதா,0
ராகுல் காந்தியிடம் தவறாக நடந்துகொண்ட உத்தரப்பிரதேசம் போலீசார்,0
கூகுள் சிஇஓ சுந்தர் பிச்சை ஓட்டுப் போட தமிழகம் வந்தாரா,0
அயோத்திக்கு பிறகு பூதாகரமாக வெடிக்கப் போகும் ஸ்ரீரங்கப்பட்டினம்,0
பண மதிப்பிழப்பு நடவடிக்கையால் விபசாரம் குறைந்துள்ளது என்று ரவிசங்கர் பிரசாத் கூறினாரா,0
காஷ்மீரில் சொத்து வாங்க மாட்டேன் என்று உங்கள் தலைவர் உறுதி அளிப்பாரா அமித்ஷா பேச்சு உண்மையா,0
பாஜக எம்எல்ஏ அனில் உபாத்யாய் போலீஸ் அதிகாரியை அடித்தாரா,0
ஆஸ்திரேலிய காட்டுத் தீ பாதிப்புக்கு உதவிய அஜித் விஜய்,0
ஜே.என்.யூ மாணவர்களுக்கு வேலை இல்லை என்று ரத்தன் டாடா அறிவித்தாரா 4 ஆண்டுகளாக பரவும் வதந்தி,0
ஹெல்மெட் போடாத இருசக்கர வாகன ஓட்டிகள் பெட்ரோல் பங்கில் நுழைய தடை பேஸ்புக் பதிவு உண்மை என்ன,0
நடிகை கவுசல்யா மற்றும் நடிகர் முத்துக்காளை புகைப்படத்தை இணைத்து பகிரப்படும் செய்தியால் குழப்பம்,0
பிரதமர் மோடி பேசியதை பார்த்து டிவியை உடைத்த நபர் வீடியோ செய்தி உண்மையா,0
பள்ளிவாசலுக்கு புர்கா அணிந்து அரிவாளுடன் வந்தது ஆர்.எஸ்.எஸ் தீவிரவாதியா,0
கேரள அரசு கொடுத்த உணவைத் தூக்கி எறிந்த வட இந்திய தொழிலாளர்கள்… பேஸ்புக் வீடியோ உண்மையா,0
நாடாளுமன்றத்தில் காங்கிரஸ் உறுப்பினர் கேள்விக்கு பதில் தெரியாமல் விழித்தாரா பிரதமர் மோடி,0
இந்தியா  பாகிஸ்தான் வீரர்கள் தீபாவளி பரிசு பரிமாறிக்கொண்டனரா,0
ஸ்டூலில் நிற்கும் சூர்யா கருத்து சொல்லலாமா  தனிமனித தாக்குதல் நடத்திய பேஸ்புக் பதிவு,0
தி.மு.க தோல்வியடையும் என்று பிரசாந்த் கிஷோர் கூறினாரா,0
குடிபோதையில் எச்.ராஜா பேஸ்புக் புகைப்படத்தால் சர்ச்சை,0
நேபாள தலைநகர் காட்மாண்டுவில் கடல் நீர் பொங்கும் கோவிலா,0
வானதி ஸ்ரீனிவாசனை கேள்வி கேட்ட பா.ரஞ்சித் உண்மை அறிவோம்,0
எச்.ராஜா அமைச்சர் பதவியில் உள்ளாரா,0
இந்தியா நடத்தியது செயற்கைக்கோள் எதிர்ப்பு ஏவுகணை சோதனையா செயற்கைக்கோள் சோதனையா,0
42 மணி நேரத்தில் புற்றுநோய் செல்களை அழிக்கும் ஜூஸ் விபரீதத்தை ஏற்படுத்தும் பேஸ்புக் பதிவு,0
குடிநீர் குழாயில் தண்ணீர் குடித்ததால் தலித் பெண் தாக்கப்பட்டாரா பேஸ்புக் வதந்தி,0
ஹிட்லரை சந்தித்த முதல் தமிழன் ஜிடி நாயுடு பேஸ்புக் செய்தி உண்மையா,0
தொண்டருடன் போனில் வாக்குவாதம் செய்த சீமான்,0
ராஜ்ய சபாவில் முத்தலாக் மசோதாவுக்கு எதிராக வெளிநடப்பு செய்த தி.மு.க பேஸ்புக் வதந்தி,0
பெரிய மரமாக வளர்ந்திருக்கும் துளசி பேஸ்புக் வைரல் படம் உண்மையா,0
காங்கிரஸ் கட்சிக்கு ரூ.98 கோடி செக் கொடுத்தாரா நீரவ் மோடி,0
