text,label
"తనకు త్వరలో పెళ్లి జరగనుందని వస్తున్న వార్తలను నటి కీర్తి సురేష్‌ ఖండించారు. ఆమెకు భాజపా ప్రముఖుడితో పెళ్లి నిశ్చయమైందని, పెళ్లి ఏర్పాట్లు వేగంగా జరుగుతున్నాయంటూ సినీ రంగానికి చెందిన ఓ నటుడు చేసిన ప్రచారంతో పలు పత్రికలు వార్త ప్రచురించాయి. ",1
"అభిమాన స్టార్‌పై ఉన్న ప్రేమను తెలపడానికి, తెలుసుకోవడానికి సోషల్‌మీడియా ఓ వేదికగా మారిపోయింది. ఇష్టమైన స్టార్‌తో కలిసి పనిచేసిన వారిని ‘మా హీరో గురించి ఒక్క మాట చెప్పండి?’ అని అడగడం ఇప్పటికే ఎన్నో సందర్భాల్లో చూశాం. తాజాగా ‘మిర్చి’ నటి రిచా గంగోపాధ్యాయ ఓ ట్వీట్‌ చేశారు. సంవత్సరంలో మొదటి త్రైమాసికం పూర్తయిందని.. ఆనందంగా గడపాల్సిన రోజులు ఇంకా చాలా ఉన్నాయని అన్నారు. ‘ఇలాంటి కష్ట సమయంలో (కరోనాను ఉద్దేశిస్తూ) మిమ్మల్ని మీరు రీఛార్జ్‌ చేసుకోవడానికి ఏం చేస్తున్నారు’ అని ఫాలోవర్స్‌ను ఉద్దేశించి ప్రశ్నించారు.",1
లాక్‌డౌన్‌ ముగిసేంత వరకు ఫుడ్‌ పంపిస్తా: ప్రముఖ నటి రకుల్‌ప్రీత్‌ సింగ్‌ ఈ క్లిష్ట సమయంలో పేదవారికి తనవంతు సహాయం చేస్తున్నారు. గుర్గావ్‌లోని తన ఇంటికి దగ్గరున్న మురికివాడలోని కుటుంబాలకు రోజుకు రెండు పూట్ల ఆహారం పంపిణీ చేస్తున్నారు. శనివారం నుంచి లాక్‌డౌన్‌ కాలం ముగిసేంత వరకు వీరికి ఇలానే ఆహారం పంపిస్తానని ఆమె తాజాగా ఓ వైబ్‌సైట్‌తో అన్నారు.,1
"కరోనాపై పాటతో సందేశం ఇచ్చినందుకు గానూ చిరంజీవి, నాగార్జున బృందానికి  ప్రధాని నరేంద్ర మోదీ అభినందనలు తెలిపారు. కరోనాపై పోరాటంలో ప్రజల్ని చైతన్యపరిచేందుకు చిరంజీవి, నాగార్జున,  వరుణ్‌తేజ్‌, సాయితేజ్‌లు ‘‘ఉయ్‌ గాన్నా ఫైట్‌ కరోనా.. ఏదేమైనా’’ అనే వీడియో గీతాన్ని ఇటీవల రూపొందించారు. ఈ పాటను శ్రీనివాస్‌ మౌళి రాయగా కోటి స్వరాలు  సమకూర్చారు. ఈ పాట గురించి మోదీ ట్విటర్‌లో స్పందిస్తూ ‘‘చిరంజీవి గారికీ,  నాగార్జున గారికీ, వరణ్‌ తేజ్‌కీ, సాయితేజ్‌కీ... మీరిచ్చిన సందేశానికి ధన్యవాదాలు. అందరం ఇళ్లలోనే ఉందాం. సామాజిక దూరం పాటిద్దాం. కరోనాపై విజయం సాధిద్దాం’’ అని తెలుగులో ట్వీట్‌ చేశారు. ప్రధాని ట్వీట్‌పై చిరంజీవి స్పందిస్తూ ధన్యవాదాలు తెలిపారు.",1
"సాధారణంగా ఈ సమయానికి, లేదా మరో వారం పది రోజుల్లో చాలా మంది విద్యార్థులకు పరీక్షలు అయిపోతాయి. వేసవి సెలవులను ఎలా గడపాలా? అని ఇప్పటికే చాలా మంది ప్రణాళికలు వేసుకొని ఉంటారు. సినిమాలు, విహార యాత్రలతో గడిపేందుకు సిద్ధమవుతుంటారు. మరోవైపు ప్రతి శుక్రవారం బాక్సాఫీస్‌ కొత్త సినిమాలతో కళకళలాడుతుండేది. కరోనా పెట్టిన పెద్ద పరీక్ష ముందు ఆ పరీక్షలు, సినిమాలు, విహార యాత్రలు పక్కకు వెళ్లిపోయాయి. ఇప్పుడు ప్రజలందరి ముందు ఉన్న అతి పెద్ద పరీక్ష కరోనా వైరస్‌ను ఎదుర్కోవడం ఎలా? లాక్‌డౌన్‌ కారణంగా ఏప్రిల్‌ 14 వరకూ ఎవరూ బయటకు వచ్చే పరిస్థితి లేదు. మరి ఆ తర్వాత పరిస్థితి ఏంటి? యథావిధిగా అన్న సాగుతాయా? ముఖ్యంగా బాక్సాఫీస్‌ వద్ద సినిమాలు సందడి చేస్తాయా? ",1
" సామాజిక బాధ్యత విషయంలో తెలుగు చిత్రసీమ ఎప్పుడూ ముందుంటుంది. సమాజానికి ఏ కష్టం ఎదురైనా సరే... అందరినీ ఏకతాటిపైకి తీసుకొచ్చి ‘నేనున్నా’ అంటూ ముందుకొస్తుంది. ఆర్థికంగా సహాయం చేస్తూ ఆదుకునే సినీ ప్రముఖులు కొంతమంది. కవులు, కళాకారులైతే జనాన్ని జాగృతం చేస్తూ మరింత ధైర్యాన్ని నూరిపోస్తుంటారు. మహమ్మారి కరోనా విషయంలో తెలుగు సినీ రచయితలు, గాయకులు, సంగీత దర్శకులు విశేషంగా స్పందిస్తున్నారు. తమ పాటలతో సామాన్యుడిలో అవగాహన పెంపొందించే ప్రయత్నం చేస్తున్నారు.",1
కరోనా విముక్త భారత్‌ కోసం ప్రభుత్వాలు చేస్తున్న సమరానికి ప్రముఖ కథానాయకుడు నందమూరి బాలకృష్ణ అండగా నిలిచారు. తన వంతుగా రూ.1.25 కోట్లను విరాళంగా ప్రకటించారు. ఇందులో రెండు తెలుగు రాష్ట్రాల ముఖ్యమంత్రుల సహాయ నిధికి చెరో రూ.50 లక్షలు అందజేస్తున్నట్లు తెలియజేశారు. సినీ కార్మికుల కోసం ఏర్పాటైన ‘సీసీసీ - మనకోసం’ సంస్థకి రూ.25 లక్షలు విరాళమిస్తున్నట్లు ప్రకటించారు. తెలంగాణ ముఖ్యమంత్రి సహాయనిధికి ప్రకటించిన రూ.50 లక్షలకు సంబంధించిన చెక్కును ఆ రాష్ట్ర మంత్రి కేటీఆర్‌కు అందజేశారు బాలకృష్ణ. ‘‘కరోనాను అరికట్టడంలో మనందరం భాగస్తులం కావాలి. ఇళ్లలోనే ఉండి ఈ విపత్తును ధైర్యంగా ఎదుర్కోవాల’’ని ప్రజలకు పిలుపునిచ్చారు బాలకృష్ణ. సంపత్‌ నంది సాయం..: ‘సీసీసీ’కి రూ.5 లక్షలు విరాళం అందించనున్నట్లు ట్విటర్‌ వేదికగా తెలియజేశారు ప్రముఖ దర్శకుడు సంపత్‌ నంది.,1
"‘‘కరోనా వల్ల ఉపాధి కోల్పోయిన సినీ కార్మికులను ఆదుకునేందుకు ఏర్పాటు చేసిన ‘సీసీసీ’ని భవిష్యత్‌లోనూ కొనసాగించేందుకు ప్రణాళికలు రూపొందిస్తున్నాం’’ అన్నారు ప్రముఖ దర్శక నిర్మాత తమ్మారెడ్డి భరద్వాజ. ఈ సంస్థ ద్వారా చేపట్టబోతున్న కార్యక్రమాల గురించి తమ్మారెడ్డి భరద్వాజ, దర్శక సంఘం అధ్యక్షులు ఎన్‌.శంకర్‌ హైదరాబాద్‌లో మాట్లాడారు. దీనికి సంబంధించిన వీడియో ప్రకటనను సామాజిక మాధ్యమాల ద్వారా పంచుకున్నారు. తమ్మారెడ్డి మాట్లాడుతూ ‘‘సినీ కార్మికుల కోసం నిత్యావసర సరకుల్ని ఇంటింటికీ వెళ్లి స్వయంగా అందిస్తాం. రూ.1000లోపు విలువగల మందుల్ని ఉచితంగా అందించేందుకు అపోలో ఫార్మసీ ముందుకొచ్చినందుకు ధన్యవాదాల’’న్నారు. ‘‘మరో మూడు రోజుల్లో నిత్యావసరాలన్నీ సిద్ధమవుతాయి. ఆదివారం నుంచి డోర్‌ డెలివరీని ప్రారంభిస్తాం’’ అన్నారు ఎన్‌ శంకర్‌.",1
"సోషల్‌మీడియాలో అల్లుఅర్జున్‌ పోస్ట్‌...! హైదరాబాద్‌: ఒకరి వల్ల తనకి ప్రేమంటే ఏమిటో తెలిసిందని టాలీవుడ్‌ స్టైలిష్‌ స్టార్‌ అల్లు అర్జున్‌ అన్నారు. కొన్ని సంవత్సరాలపాటు ప్రేమలో ఉన్న అల్లు అర్జున్‌, స్నేహారెడ్డి 2011లో వివాహబంధంతో ఒక్కటయ్యారు. ఈ దంపతులకు అయాన్‌, అర్హ జన్మించిన విషయం విధితమే. అయితే శుక్రవారం అయాన్‌ 6వ పుట్టినరోజు సందర్భంగా అల్లు అర్జున్‌ ఇన్‌స్టా వేదికగా ఓ ఎమోషనల్‌ పోస్ట్‌ పెట్టారు. ‘‘ప్రేమంటే ఏమిటి?’ అనే విషయం గురించి నేను ఎప్పుడూ ఆలోచించేవాడిని. గతంలో నేను గొప్ప ఫీలింగ్స్‌ను చవిచూశాను.. ఆ ఫీల్సింగ్స్‌ ప్రేమో కాదో నాకు కచ్చితంగా తెలియదు. కానీ నువ్వు నా జీవితంలోకి వచ్చాక నాకు ప్రేమంటే ఏమిటో తెలిసింది. నువ్వే ప్రేమ. ఐ లవ్‌ యూ అయాన్‌. హ్యాపీ బర్త్‌డే మై బేబీ’ అని బన్నీ పోస్ట్‌ పెట్టారు.",1
"కరోనాతో సాగుతున్న యుద్ధంలో వైద్యులు, పోలీసులు, పారిశుద్ధ్య సిబ్బంది అలుపెరగని పోరాటం చేస్తున్నారు. ఇంట్లో గడుపుతూ ఆ యుద్ధానికి సహకరించాల్సిన జనం మాత్రం, బయటికెళ్లి శత్రువుకి మరింత బలాన్నిస్తున్నారు. ఇది తగదంటూ జనంలో చైతన్యం పెంపొందించే ప్రయత్నం చేస్తున్నారు ప్రముఖ సంగీత దర్శకుడు ఎమ్‌.ఎమ్‌.కీరవాణి ‘ఓ మై డియర్‌ గర్ల్స్‌, డియర్‌ బాయ్స్‌...’ అంటూ కరోనా నేపథ్యంలో ఓ పాటని రూపొందించారు.     ",1
